type,frame,parent,children,x,y,tid,from,to
division,10,1795.0,3261;3262,463.2593088071349,130.13132664437012,,,
division,10,1796.0,3263,583.443447037702,113.77199281867145,,,
division,10,1798.0,3264,691.5037341703647,97.83602121441714,,,
division,10,1802.0,3265;3266,953.6531132171609,100.22093141750739,,,
division,10,1804.0,3267,1024.607187735612,92.12540839406886,,,
division,10,1815.0,3268;3269,814.8501469147894,206.73702252693437,,,
division,10,1824.0,3270,238.12916919345056,210.2801697998787,,,
division,10,1831.0,3271;3272,1252.311821086262,219.08306709265176,,,
division,10,1834.0,3273;3274,944.4609800362977,228.59467634603752,,,
division,10,1837.0,3275,85.67758369723435,232.05385735080057,,,
division,10,1838.0,3276;3277,207.43708116157856,231.38049143708116,,,
division,10,1840.0,3278;3279,429.9396103896104,225.87467532467534,,,
division,10,1844.0,3280,1280.3761088113542,239.2602010644589,,,
division,10,1850.0,3281;3282,336.69293308317697,239.75171982489056,,,
division,10,1853.0,3283,462.4151111111111,247.75822222222223,,,
division,10,1860.0,3284,1309.8120133481646,256.64738598442716,,,
division,10,1861.0,3285;3286,680.2290377039955,258.3162633652223,,,
division,10,1870.0,3287;3288,605.549245147376,254.84471603163192,,,
division,10,1871.0,3289;3290,423.5681330472103,262.05257510729615,,,
division,10,1872.0,3291;3292,852.3695801789402,261.9724707501721,,,
division,10,1876.0,3293,1332.669937555754,286.7662801070473,,,
division,10,1878.0,3294;3295,1371.3617494440325,273.0511489992587,,,
division,10,1880.0,3296;3297,571.1166912850813,276.3264401772526,,,
division,10,1882.0,3298;3299,149.80774962742177,277.7235469448584,,,
division,10,1890.0,3300;3301,1022.7645466847091,283.0081190798376,,,
division,10,1891.0,3302;3303,1089.5930138099106,289.8846466287571,,,
division,10,1894.0,3304;3305,476.40290126345343,297.2798315395414,,,
division,10,1897.0,3306;3307,746.2362278244631,288.5882352941176,,,
division,10,1899.0,3308;3309,89.16926605504587,301.3908256880734,,,
division,10,1900.0,3310;3311,1207.1628080657206,292.50709484690066,,,
division,10,1903.0,3312,603.1564808596373,294.47615849563465,,,
division,10,1909.0,3313;3314,219.8318863456985,297.94632991318076,,,
division,10,1913.0,3315;3316,288.31852358168146,306.6684894053315,,,
division,10,1915.0,3317;3318,539.8511151295961,308.7679324894515,,,
division,10,1916.0,3319;3320,677.719930273097,312.575246949448,,,
division,10,1918.0,3321;3322,994.0347513481126,322.14080287597363,,,
division,10,1923.0,3323,114.86709601873537,328.05210772833726,,,
division,10,1924.0,3324,1345.7228731533366,325.71625063678044,,,
division,10,1925.0,3325;3326,11.202401372212693,322.25214408233273,,,
division,10,1932.0,3327,147.07025547445255,339.625,,,
division,10,1933.0,3328;3329,433.6096579476861,332.234071093226,,,
division,10,1938.0,3330;3331,602.4027303754266,335.96245733788396,,,
division,10,1941.0,3332;3333,1070.578906851424,346.729792147806,,,
division,10,1944.0,3334,633.8916982722293,353.03919089759796,,,
division,10,1946.0,3335;3336,951.2918660287081,349.38277511961724,,,
division,10,1950.0,3337,1013.4776785714286,351.62142857142857,,,
division,10,1958.0,3338,1038.9832635983264,359.8619246861925,,,
division,10,1960.0,3339,670.1721739130435,365.42202898550727,,,
division,10,1961.0,3340;3341,1194.04140969163,360.9629955947137,,,
division,10,1962.0,3342,565.7349514563107,359.40291262135923,,,
division,10,1964.0,3343;3344,1139.8229166666667,360.09270833333335,,,
division,10,1966.0,3345,216.40356965790778,373.71095686663364,,,
division,10,1968.0,3346,1096.0421574705517,370.1165530068196,,,
division,10,1969.0,3347;3348,758.386577181208,372.56375838926175,,,
division,10,1972.0,3349,1159.707192870783,378.38574156588163,,,
division,10,1973.0,3350;3351,1327.0915148822746,380.23411816970236,,,
division,10,1974.0,3352;3353,310.76442953020137,371.1248322147651,,,
division,10,1976.0,3354,1222.8328200615927,384.9700835899692,,,
division,10,1980.0,3355;3356,106.27192008879024,384.1065482796892,,,
division,10,1981.0,3357;3358,40.88279301745636,376.3366583541147,,,
division,10,1983.0,3359;3360,1283.5149413020276,394.3516542155816,,,
division,10,1984.0,3361,786.6592592592592,391.4086419753086,,,
division,10,1985.0,3362;3363,1390.0024630541873,391.1650246305419,,,
division,10,1987.0,3364,1051.3784773060029,392.8265007320644,,,
division,10,1989.0,3365,65.06037991858888,394.31614654002715,,,
division,10,1991.0,3366,334.17271784232366,396.53890041493776,,,
division,10,1992.0,3367,1420.565050038491,397.6959199384142,,,
division,10,1994.0,3368;3369,1007.4410792951542,403.125,,,
division,10,1997.0,3370;3371,170.82313495389775,396.73679798826487,,,
division,10,1999.0,3372,11.912076271186441,402.6069915254237,,,
division,10,2001.0,3373,130.18589025755878,400.67077267637177,,,
division,10,2004.0,3374,1180.993298585257,405.9374534623976,,,
division,10,2011.0,3375;3376,964.1277926720286,409.934763181412,,,
division,10,2019.0,3377;3378,700.2105734767025,421.86021505376345,,,
division,10,2020.0,3379,79.13161993769471,428.9080996884735,,,
division,10,2028.0,3380,1192.1778886118038,438.10307564422277,,,
division,10,2029.0,3381;3382,191.41613832853025,441.6265129682997,,,
division,10,2033.0,3383;3384,1393.8543870566273,440.5787181082763,,,
division,10,2035.0,3385,1219.2901287553648,440.4480686695279,,,
division,10,2038.0,3386;3387,614.9665038381019,440.3565945568737,,,
division,10,2039.0,3388;3389,887.1054637865311,441.21219822109276,,,
division,10,2040.0,3390,971.4887082204156,438.5492321589883,,,
division,10,2043.0,3391;3392,249.81254612546127,442.2708487084871,,,
division,10,2046.0,3393,924.5741293532338,448.91094527363185,,,
division,10,2051.0,3394,1243.4940107393638,461.6959933911607,,,
division,10,2056.0,3395,994.3074509803921,455.9513725490196,,,
division,10,2062.0,3396,214.75696594427245,463.80804953560374,,,
division,10,2072.0,3397,947.7091310751105,474.6038291605302,,,
division,10,2084.0,3398;3399,171.04611497157296,485.3404927353127,,,
division,10,2087.0,3400,879.7936,490.6672,,,
division,10,2088.0,3401;3402,1502.0110344827585,489.9758620689655,,,
division,10,2094.0,3403;3404,434.8378486055777,503.15258964143425,,,
division,10,2095.0,3405;3406,1064.4863498483317,499.42618806875635,,,
division,10,2101.0,3407;3408,1016.9398939304655,502.2746022392457,,,
division,10,2104.0,3409;3410,749.132333767927,505.0026075619296,,,
division,10,2111.0,3411;3412,559.0677419354839,511.55225806451614,,,
division,10,2113.0,3413;3414,641.6057846813069,514.8387787895019,,,
division,10,2114.0,3415;3416,1242.5102040816328,517.2150145772595,,,
division,10,2116.0,3417;3418,1472.8174006444683,524.2765843179377,,,
division,10,2118.0,3419,779.3529128550795,526.6456427539721,,,
division,10,2120.0,3420;3421,1382.2943864229765,523.7154046997389,,,
division,10,2122.0,3422;3423,1306.6161228406909,525.4203454894434,,,
division,10,2127.0,3424,506.5834011391375,536.9414157851912,,,
division,10,2132.0,3425,80.9970802919708,528.4029197080292,,,
