frame,track_id,area,neighbors
0,1,2046,0
0,2,875,0
0,3,844,0
0,4,1281,0
0,5,1927,0
0,6,1699,0
0,7,1053,0
0,8,1616,0
0,9,1537,0
0,10,1071,0
0,11,1631,0
0,12,2657,0
0,13,1157,0
0,14,1677,0
0,15,504,0
0,16,1752,0
0,17,10583,0
0,18,1858,0
0,19,741,0
0,20,809,0
0,21,1786,0
0,22,1130,0
0,23,2000,0
0,24,1235,0
0,25,1870,0
0,26,1961,0
0,27,1607,0
0,28,1842,0
0,29,1654,0
0,30,1726,0
0,31,2099,0
0,32,1401,0
0,33,1658,0
0,34,912,0
0,35,1328,0
0,36,2309,0
0,37,1455,0
0,38,1838,0
0,39,1841,0
0,40,1230,0
0,41,1497,0
0,42,1310,0
0,43,1672,0
0,44,941,0
0,45,1044,0
0,46,1743,0
0,47,1537,0
0,48,772,0
0,49,1568,0
0,50,1529,0
0,51,1300,0
0,52,1595,0
0,53,1537,0
0,54,1717,0
0,55,1213,0
0,56,1446,0
0,57,1042,0
0,58,1108,0
0,59,1439,0
0,60,831,0
0,61,1646,0
0,62,1853,0
0,63,1906,0
0,64,1424,0
0,65,1434,0
0,66,1403,0
0,67,1830,0
0,68,2118,0
0,69,1874,0
0,70,1574,0
0,71,1634,0
0,72,1453,0
0,73,764,0
0,74,1121,0
0,75,819,0
0,76,1422,0
0,77,1808,0
0,78,1615,0
0,79,1356,0
0,80,1818,0
0,81,1164,0
0,82,1718,0
0,83,1282,0
0,84,1683,0
0,85,1653,0
0,86,2100,0
0,87,1883,0
0,88,1472,0
0,89,1323,0
0,90,1510,0
0,91,1560,0
0,92,807,0
0,93,1461,0
0,94,2024,0
0,95,1496,0
0,96,1441,0
0,97,1595,0
0,98,1671,0
0,99,1461,0
0,100,987,0
0,101,834,0
0,102,1214,0
0,103,1980,0
0,104,2664,0
0,105,1178,0
0,106,1068,0
0,107,1811,0
0,108,2109,0
0,109,1433,0
0,110,863,0
0,111,1508,0
0,112,1961,0
0,113,1560,0
0,114,2345,0
0,115,1431,0
0,116,1532,0
0,117,1912,0
0,118,1411,0
0,119,1053,0
0,120,1305,0
0,121,1406,0
0,122,1158,0
0,123,1422,0
0,124,1990,0
0,125,1648,0
0,126,3547,0
0,127,714,0
0,128,1465,0
0,129,2221,0
0,130,1269,0
0,131,1402,0
0,132,853,0
0,133,1340,0
0,134,2059,0
0,135,1820,0
0,136,1968,0
0,137,1877,0
0,138,2112,0
0,139,1787,0
0,140,2081,0
0,141,1752,0
0,142,1970,0
0,143,852,0
0,144,1640,0
0,145,2068,0
0,146,1205,0
0,147,2246,0
0,148,843,0
0,149,1228,0
0,150,1613,0
0,151,1377,0
0,152,1639,0
0,153,877,0
0,154,2058,0
0,155,1551,0
0,156,2084,0
0,157,1721,0
0,158,1673,0
0,159,1383,0
0,160,1793,0
0,161,1646,0
0,162,1610,0
0,163,736,0
