prev,cur,dr,dc,mag,err,dr_stage,dc_stage,mag_stage
0,9,191.2,-13.6,191.6830717616973,0.9999999999999976,-2.9923573933452046,1.4686416654454009,3.333333333315159
9,10,8.8,9.6,13.023056476879766,0.9999999999998662,-2.9923573933452046,1.4686416654454009,3.333333333315159
10,11,0.0,7.2,7.2,0.9999999999997573,-2.9923573933452037,1.4686416654454009,3.3333333333151582
11,13,18.4,24.0,30.241693074297277,0.9999999999999404,-2.9923573933452055,1.4686416654454009,3.33333333331516
13,14,7.2,14.4,16.099689437998485,0.9999999999997824,-2.9923573933452055,1.4686416654454009,3.33333333331516
14,15,4.0,9.6,10.4,0.9999999999998137,-2.992357393345202,1.4686416654454009,3.3333333333151565
15,16,4.0,12.8,13.41044369139217,0.9999999999998155,-2.9923573933452055,1.4686416654454018,3.33333333331516
16,17,4.0,11.2,11.892854997854805,0.9999999999997395,-2.9923573933452055,1.4686416654454,3.333333333315159
17,18,2.4,16.8,16.97056274847714,0.999999999999822,-2.9923573933452055,1.4686416654454018,3.33333333331516
18,19,4.0,14.4,14.945233353815524,0.9999999999998527,0.0,0.0,0.0
19,20,3.2,15.2,15.533190271158078,0.9999999999999017,0.0,0.0,0.0
20,21,6.4,13.6,15.030635382444748,0.9999999999998725,0.0,0.0,0.0
21,23,12.8,24.0,27.2,0.999999999999966,0.0,0.0,0.0
23,24,5.6,12.8,13.971399357258385,0.999999999999798,0.0,0.0,0.0
24,26,4.0,19.2,19.61224107541002,0.9999999999999042,0.0,0.0,0.0
26,27,4.8,10.4,11.454256850621084,0.999999999999818,0.0,0.0,0.0
27,28,2.4,9.6,9.895453501482386,0.9999999999998609,0.0,0.0,0.0
28,29,4.0,11.2,11.892854997854805,0.9999999999997425,0.0,0.0,0.0
29,31,4.0,14.4,14.945233353815524,0.9999999999998173,0.0,0.0,0.0
31,32,4.0,2.4,4.66476151587624,0.9999999999996891,0.0,0.0,0.0
32,33,0.0,4.8,4.8,0.9999999999996485,0.0,0.0,0.0
33,36,4.8,14.4,15.17893276880822,0.9999999999998339,0.0,0.0,0.0
36,37,-79.2,-4.0,79.30094576989609,0.9999999999997161,0.0,0.0,0.0
37,38,0.8,0.0,0.8,0.9999999999996126,0.0,0.0,0.0
38,39,4.0,4.0,5.656854249492381,0.999999999999505,0.0,0.0,0.0
39,42,4.0,12.0,12.649110640673518,0.9999999999997968,0.0,0.0,0.0
42,43,0.0,2.4,2.4,0.9999999999996277,0.0,0.0,0.0
43,46,0.8,12.8,12.824975633505119,0.9999999999997918,0.0,0.0,0.0
46,47,4.0,6.4,7.547184905645284,0.9999999999997222,0.0,0.0,0.0
47,51,7.2,9.6,12.0,0.9999999999998934,0.0,0.0,0.0
51,52,0.8,3.2,3.298484500494129,0.9999999999995545,0.0,0.0,0.0
52,54,8.0,7.2,10.762899237658969,0.9999999999996397,0.0,0.0,0.0
54,56,1.6,6.4,6.596969000988258,0.9999999999998671,0.0,0.0,0.0
56,57,4.0,1.6,4.308131845707603,0.9999999999995708,0.0,0.0,0.0
57,59,4.8,4.0,6.248199740725323,0.9999999999997741,0.0,0.0,0.0
59,60,0.8,4.0,4.079215610874228,0.9999999999995345,0.0,0.0,0.0
60,61,3.2,4.0,5.122499389946279,0.9999999999996202,-10.586419026285764,-28.07005044849117,29.99999999968241
61,62,4.0,4.0,5.656854249492381,0.9999999999992832,0.0,0.0,0.0
62,63,2.4,6.4,6.835202996254026,0.9999999999996859,0.0,0.0,0.0
63,64,29.6,-88.0,92.84481676431916,0.9999999999998234,0.0,0.0,0.0
64,65,4.0,4.0,5.656854249492381,0.999999999999682,0.0,0.0,0.0
65,66,4.0,0.8,4.079215610874228,0.9999999999996833,0.0,0.0,0.0
