prev,cur,dr,dc,mag,inlier_frac,dr_stage,dc_stage,mag_stage,cause_guess
0,9,-2.233123678402933,4.157760361806481,4.71951402045306,0.814709236031927,-26.931216540106842,13.217774989008609,29.99999999983643,unknown
9,10,-9.28758889087942,-10.231131483234549,13.817936127845575,0.9911054637865311,0.0,0.0,0.0,unknown
10,11,-0.7238964153821144,-6.197868482342642,6.239999979536807,0.9850187265917603,0.0,0.0,0.0,unknown
11,13,3.1988685711135076,3.7204616217943283,4.906586880358103,0.9810366624525917,0.0,0.0,0.0,unknown
13,14,-6.403256772124564,-14.836538391112697,16.159349266623334,0.9746835443037974,0.0,0.0,0.0,unknown
14,15,-4.500663288043256,-9.56258830464617,10.568777844031732,0.9860494610019024,0.0,0.0,0.0,unknown
15,16,-4.668046486461606,-13.050313847866846,13.860063114127284,0.9849246231155779,0.0,0.0,0.0,unknown
16,17,-4.527522527423571,-11.217322690237665,12.09656102259021,0.9950341402855369,0.0,0.0,0.0,unknown
17,18,-2.2584465237969766,-16.45981905325641,16.61403695574298,0.9571256038647343,0.0,0.0,0.0,unknown
18,19,-3.56213513977616,-13.657500238959187,14.114394054694603,0.9883148831488315,0.0,0.0,0.0,unknown
19,20,-3.0374610657463563,-14.577154746790939,14.89025218852302,0.9762629336579428,0.0,0.0,0.0,unknown
20,21,-6.034989377289207,-13.477120521907182,14.766647363095162,0.9907292954264524,0.0,0.0,0.0,unknown
21,23,2.3852294418342126,2.700119947533153,3.602772157833352,0.9786585365853658,0.0,0.0,0.0,unknown
23,24,-5.876082853001662,-12.816486846535554,14.099315046581484,0.982370820668693,0.0,0.0,0.0,unknown
24,26,-3.3820893806830554,-16.168491660240875,16.518433677144085,0.9194139194139194,0.0,0.0,0.0,unknown
26,27,-5.1909267031927016,-10.112132884721177,11.366659646359544,0.986252241482367,0.0,0.0,0.0,unknown
27,28,-2.111023506266065,-9.592954989217333,9.82248469935981,0.9916117435590174,0.0,0.0,0.0,unknown
28,29,-3.2506542973983414,-10.907842762890255,11.381906127759603,0.990521327014218,0.0,0.0,0.0,unknown
29,31,-4.396775253428814,-13.71967765374643,14.406983985271628,0.9916913946587537,0.0,0.0,0.0,unknown
31,32,-4.112637182476078,-2.177996543144104,4.653756927110874,0.9911504424778761,0.0,0.0,0.0,unknown
32,33,0.397816530824457,-5.591637738408508,5.605771186000319,0.9964328180737217,0.0,0.0,0.0,unknown
33,36,-5.166091936781129,-13.76308685379945,14.700716501058793,0.9875592417061612,0.0,0.0,0.0,unknown
36,37,-0.5549097178850957,-0.24247388917331136,0.6055727717905981,0.9661520190023754,-10.586419026285764,-28.07005044849117,29.99999999968241,unknown
37,38,-1.3517284403756094,-0.3574094776114549,1.3981814300035493,0.9947121034077556,0.0,0.0,0.0,unknown
38,39,-3.2295018729466847,-3.378221043316614,4.67354894752086,0.9702450408401401,0.0,0.0,0.0,unknown
39,42,-4.406504300716847,-11.372852189162813,12.196681805670814,0.9680915111378687,0.0,0.0,0.0,unknown
42,43,-0.15065972295298025,-2.259474336061487,2.264491692950267,0.9975520195838433,0.0,0.0,0.0,unknown
43,46,-1.4729145143267033,-12.164842796644962,12.253688319587662,0.9918414918414918,0.0,0.0,0.0,unknown
46,47,-5.0031141202327944,-5.717923843551944,7.597749928810016,0.9958896065766295,0.0,0.0,0.0,unknown
47,51,-6.2953097363467805,-9.068116405974195,11.039096875598153,0.9771929824561404,0.0,0.0,0.0,unknown
51,52,-1.2259788835929157,-2.660808838562673,2.929663444559626,0.9934131736526947,0.0,0.0,0.0,unknown
52,54,-7.573682614684515,-6.186047729525626,9.778949578556157,0.9909963985594238,0.0,0.0,0.0,unknown
54,56,-2.235069446343701,-5.403523301807411,5.8475293503457335,0.9964028776978417,0.0,0.0,0.0,unknown
56,57,-3.8606916467108476,-1.6663890324928161,4.204972342191475,0.9964264443120905,0.0,0.0,0.0,unknown
57,59,-4.3508441711844625,-3.367891306371007,5.50204842340189,0.9898628503279666,0.0,0.0,0.0,unknown
59,60,-1.5978995089965338,-3.3258636822718017,3.689803798836181,0.9958058717795086,0.0,0.0,0.0,unknown
60,61,-2.4387503185073456,-4.791399817017407,5.376338468003491,0.8989838613269575,0.0,0.0,0.0,unknown
61,62,-3.5139024575047415,-3.849150514891562,5.21185860966583,0.9980053191489362,0.0,0.0,0.0,unknown
62,63,-2.788927458833996,-6.2988366869587935,6.8886471806600955,0.9921733895243829,0.0,0.0,0.0,unknown
63,64,-1.1142267701207516,2.044369561783526,2.328292979932012,0.9480048367593712,-29.999999999680647,0.0,29.999999999680647,unknown
64,65,-4.368372867002961,-2.875191100440361,5.229665894607334,0.9965317919075144,0.0,0.0,0.0,unknown
65,66,-4.414933613744665,-1.197036449285406,4.5743343859724925,0.9684560044272275,0.0,0.0,0.0,unknown
66,67,-2.5533691827114353,-0.7624143727063597,2.664764503465493,0.9942263279445728,0.0,0.0,0.0,unknown
67,69,-8.441919025220159,-1.820911950181653,8.63607070134841,0.9907727797001153,0.0,0.0,0.0,unknown
69,70,-6.452408994554958,-4.293735512103339,7.750467500797035,0.9854819976771196,0.0,0.0,0.0,unknown
70,71,-2.191731806921098,-3.99578341547317,4.557408629565716,0.9941002949852508,0.0,0.0,0.0,unknown
71,72,0.1201809101175968,-3.455165053724386,3.4572545465491737,0.9958896065766295,0.0,0.0,0.0,unknown
72,74,-6.855774202753196,-2.8720974988159185,7.433073655079766,0.9947491248541424,0.0,0.0,0.0,unknown
74,76,-2.378575065786663,-7.03501614822369,7.426242087984347,0.9912739965095986,0.0,0.0,0.0,unknown
76,78,-3.4448830721764807,-3.7998829607416837,5.128969672000708,0.9894675248683441,0.0,0.0,0.0,unknown
78,79,-1.2081856764310004,-1.096017574147254,1.6312471154220214,0.9964622641509434,0.0,0.0,0.0,unknown
79,80,-1.379431658623389,-2.0335365943469697,2.4572551315158027,0.9923664122137404,0.0,0.0,0.0,unknown
80,81,-3.217270414971381,-3.1625410614042266,4.511373946827939,0.9952634695085849,0.0,0.0,0.0,unknown
81,82,-3.165907524281522,-3.2881464252459978,4.5645237830643834,0.9953106682297772,0.0,0.0,0.0,unknown
82,83,-4.8003363786497175,-2.9431583151288123,5.63075574111502,0.993002915451895,0.0,0.0,0.0,unknown
83,84,-11.570300458999554,-9.464871414464824,14.94843281430795,0.893841642228739,0.0,0.0,0.0,unknown
84,85,-7.640641704301743,-4.679796465688099,8.95990516767794,0.9812967581047382,0.0,0.0,0.0,unknown
85,86,-8.843118987573803,-1.887665332405163,9.042346699588146,0.9849718221665623,0.0,0.0,0.0,unknown
